Categoría,,Alarma/Warning,,Descripción,Aplica a,Prioridad
Seguridad Patrimonial,0x69,RES.,,,,
Seguridad Vial,0x70,Baja Velocidad,,Velocidad anómalmente baja para contexto de ruta (<20km/h),Flotas de Trabajo | Transporte,Aviso
Seguridad Vial,0x71,Cambio Carril,,Cambio de carril detectado (si sensor disponible),Flotas de Trabajo | Transporte,Aviso
Seguridad Vial,0x72,Posible Accidente,,Detección de patrón consistente con accidente (impacto + inmovilidad),Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Vial,0x73,Vuelco,,Evento de vuelco detectado por acelerómetro del tracker,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Vial,0x74,Velocidad Anómala Agrícola,,Velocidad excesiva para tipo de maquinaria (ej: cosechadora >15km/h),Maquinaria Agrícola,Urgente
Seguridad Vial,0x75,Desplazamiento Nocturno,,Movimiento de maquinaria agrícola en horario prohibido (21-6h),Maquinaria Agrícola,Urgente
Seguridad Vial,0x76,Aceleración Brusca,,Aceleración instantánea >0.7G,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x77,Exceso Velocidad,,Velocidad superior al límite permitido o configurado,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x78,Frenada Brusca,,Frenada instantánea >0.8G,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x79,Curva Brusca,,Cambio de dirección brusco >0.7G lateral,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x80,Tiempo Conducción – Crítico,,Conducción continua sin pausa >4h,Flotas de Trabajo | Transporte,Urgente
Seguridad Vial,0x81,Fatiga Conductor,Conducción fatigosa,Conducción continua >6h o patrones de fatiga detectados,Flotas de Trabajo | Transporte,Urgente
Seguridad Vial,0x82,Conducción Nocturna,,Circulación en horario nocturno prohibido (23-6h),Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x83,Caída,,Aceleración vertical anómala detectando caída o impacto,Flotas de Trabajo | Transporte,Urgente
Seguridad Vial,0x84,RES.,,,,
Seguridad Vial,0x85,RES.,,,,
Seguridad Vial,0x86,RES.,,,,
Seguridad Vial,0x87,RES.,,,,
Seguridad Vial,0x88,RES.,,,,
Seguridad Vial,0x89,RES.,,,,
Sistema de Frenos,0x90,Presión de Aire – Baja,,Presión de aire en circuito neumático o frenos baja,Flotas de Trabajo | Transporte,Urgente
Sistema de Frenos,0x91,Freno de Pie,,Frenado detectado por sensor de pedal o aceleración negativa,Flotas de Trabajo | Transporte,Aviso
Sistema de Frenos,0x92,RES.,,,,
Sistema de Frenos,0x93,RES.,,,,
Sistema de Frenos,0x94,RES.,,,,
Sistema de Frenos,0x95,RES.,,,,
Sistema de Frenos,0x96,RES.,,,,
Sistema de Frenos,0x97,RES.,,,,
Sistema de Frenos,0x98,RES.,,,,
Sistema de Emergencia,0x99,SOS,SOS,Botón de pánico activado,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
