Categoría,,Alarma/Warning,,,Descripción,Aplica a,Prioridad
Conectividad,0x20,Reconección GPS,deviceOnline,,Restauración de conexión GPS después de pérdida,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Conectividad,0x21,Reconección GPRS,deviceOnline,,Restauración de conexión GPRS después de pérdida,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Conectividad,0x22,Pérdida Conec. WiFi,deviceOffline,,Desconexión de red WiFi,Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Conectividad,0x23,Reconección WiFi,deviceOnline,,Restauración de conexión WiFi,Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Conectividad,0x24,Batería Tracker – Baja,maintenance,,Batería interna del tracker <15%,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Conectividad,0x25,Corte Antena GPS,deviceUnknown,,Antena GPS desconectada o cortada,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Crítica
Conectividad,0x26,Tracker Offline,deviceOffline,,Dispositivo GPS sin comunicación >10min,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Crítica
Conectividad,0x27,Pérdida Conec. GPS,deviceUnknown,,Pérdida de conexión GPS (sin satélites disponibles),Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Urgente
Conectividad,0x28,Pérdida Conec. GPRS,deviceOffline,,Pérdida de conexión GPRS/3G/4G con servidor,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Urgente
Conectividad,0x29,RES.,,,,,
Conectividad,0x30,RES.,,,,,
Conectividad,0x31,RES.,,,,,
Conectividad,0x32,RES.,,,,,
Conectividad,0x33,RES.,,,,,
Conectividad,0x34,RES.,,,,,
Geolocalización,0x35,Entrada Geocerca,geofenceEnter,,Ingreso a zona geográfica permitida (confirmación positiva),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Geolocalización,0x36,Salida Geocerca,geofenceExit,,Salida de zona geográfica permitida (confirmación positiva),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Geolocalización,0x37,Entrada Zona Restricta,geofenceExit,,Ingreso a geocerca prohibida o zona de riesgo,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Geolocalización,0x38,RES.,,,,,
Geolocalización,0x39,RES.,,,,,
Motor,0x40,Consumo Anómalo,deviceFuelDrop,,Consumo de combustible inconsistente con distancia/tiempo,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Motor,0x41,SERVICE – Motor,maintenance,,Mantenimiento del motor vencido o próximo,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Motor,0x42,SERVICE – Transmisión,maintenance,,Mantenimiento de transmisión/caja de cambios vencido,Flotas de Trabajo | Transporte | Vehículos Particulares | Maquinaria Agrícola,Aviso
Motor,0x43,Horas Motor – Crítico,maintenance,,Contador de horas motor excede intervalo de mantenimiento,Maquinaria Agrícola | Flotas de Trabajo,Aviso
Motor,0x44,Temp. Motor – Baja,maintenance,,Temperatura del motor <40°C (motor frío o falla sensor),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Motor,0x45,Ralentí,alarm,,Motor en ralentí prolongado o fuera de rango RPM normal,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Aviso
Motor,0x46,Fuga Combustible,deviceFuelDrop,,Pérdida de combustible detectada o consumo anómalo acelerado,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x47,Temp. Motor – Alta,alarm,,Temperatura del motor >95°C indicando sobrecalentamiento,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x48,Presión de Aceite – Baja,alarm,,Presión de aceite del motor por debajo de rango normal,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x49,RPM – Altas,alarm,,Revoluciones del motor excesivas (>3000 en operación normal),Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x50,Fuga Refrigerante,alarm,,Pérdida de líquido refrigerante del motor,Flotas de Trabajo | Transporte | Maquinaria Agrícola,Urgente
Motor,0x51,RES.,,,,,
Motor,0x52,RES.,,,,,
Motor,0x53,RES.,,,,,
Motor,0x54,RES.,,,,,
Motor,0x55,RES.,,,,,
Motor,0x56,RES.,,,,,
Motor,0x57,RES.,,,,,
Motor,0x58,Contacto ON,ignitionOn,commandResult,,,
Motor,0x59,Contacto OFF,ignitionOff,deviceOnline,,,
Seguridad Patrimonial,0x60,Desbloqueo,alarm,deviceUnknown,Vehículo desbloqueado (si sistema de bloqueo remoto),Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Seguridad Patrimonial,0x61,Bloqueo,alarm,deviceOffline,Vehículo bloqueado (si sistema de bloqueo remoto),Flotas de Trabajo | Transporte | Vehículos Particulares,Aviso
Seguridad Patrimonial,0x62,Inhibidor Señal,alarm,deviceInactive,Bloqueador de señal GPS/GPRS detectado,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Patrimonial,0x63,Manipulación / Sabotaje,alarm,queuedCommandSent,Intento de manipulación del dispositivo o sabotaje detectado,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Patrimonial,0x64,Remoción,alarm,deviceMoving,Vehículo removido de ubicación sin autorización,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Patrimonial,0x65,Grúa / Remolque / Robo,alarm,deviceStopped,Detección de grúa/sistema de carga en movimiento o acoplamiento anómalo,Flotas de Trabajo,Urgente
Seguridad Patrimonial,0x66,RES.,,deviceOverspeed,,,
Seguridad Patrimonial,0x67,RES.,,deviceFuelDrop,,,
Seguridad Patrimonial,0x68,RES.,,deviceFuelIncrease,,,
Seguridad Patrimonial,0x69,RES.,,geofenceEnter,,,
Seguridad Vial,0x70,Baja Velocidad,alarm,geofenceExit,Velocidad anómalmente baja para contexto de ruta (<20km/h),Flotas de Trabajo | Transporte,Aviso
Seguridad Vial,0x71,Cambio Carril,alarm,proximityEnter,Cambio de carril detectado (si sensor disponible),Flotas de Trabajo | Transporte,Aviso
Seguridad Vial,0x72,Posible Accidente,alarm,proximityExit,Detección de patrón consistente con accidente (impacto + inmovilidad),Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Vial,0x73,Vuelco,alarm,unaccompaniedMotion,Evento de vuelco detectado por acelerómetro del tracker,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
Seguridad Vial,0x74,Velocidad Anómala Agrícola,deviceOverspeed,alarm,Velocidad excesiva para tipo de maquinaria (ej: cosechadora >15km/h),Maquinaria Agrícola,Urgente
Seguridad Vial,0x75,Desplazamiento Nocturno,alarm,ignitionOn,Movimiento de maquinaria agrícola en horario prohibido (21-6h),Maquinaria Agrícola,Urgente
Seguridad Vial,0x76,Aceleración Brusca,deviceOverspeed,ignitionOff,Aceleración instantánea >0.7G,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x77,Exceso Velocidad,deviceOverspeed,maintenance,Velocidad superior al límite permitido o configurado,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x78,Frenada Brusca,alarm,driverChanged,Frenada instantánea >0.8G,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x79,Curva Brusca,alarm,media,Cambio de dirección brusco >0.7G lateral,Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x80,Tiempo Conducción – Crítico,alarm,,Conducción continua sin pausa >4h,Flotas de Trabajo | Transporte,Urgente
Seguridad Vial,0x81,Fatiga Conductor,alarm,,Conducción continua >6h o patrones de fatiga detectados,Flotas de Trabajo | Transporte,Urgente
Seguridad Vial,0x82,Conducción Nocturna,alarm,,Circulación en horario nocturno prohibido (23-6h),Flotas de Trabajo | Transporte | Vehículos Particulares,Urgente
Seguridad Vial,0x83,Caída,alarm,,Aceleración vertical anómala detectando caída o impacto,Flotas de Trabajo | Transporte,Urgente
Seguridad Vial,0x84,RES.,,,,,
Seguridad Vial,0x85,RES.,,,,,
Seguridad Vial,0x86,RES.,,,,,
Seguridad Vial,0x87,RES.,,,,,
Seguridad Vial,0x88,RES.,,,,,
Seguridad Vial,0x89,RES.,,,,,
Sistema de Frenos,0x90,Presión de Aire – Baja,alarm,,Presión de aire en circuito neumático o frenos baja,Flotas de Trabajo | Transporte,Urgente
Sistema de Frenos,0x91,Freno de Pie,alarm,,Frenado detectado por sensor de pedal o aceleración negativa,Flotas de Trabajo | Transporte,Aviso
Sistema de Frenos,0x92,RES.,,,,,
Sistema de Frenos,0x93,RES.,,,,,
Sistema de Frenos,0x94,RES.,,,,,
Sistema de Frenos,0x95,RES.,,,,,
Sistema de Frenos,0x96,RES.,,,,,
Sistema de Frenos,0x97,RES.,,,,,
Sistema de Frenos,0x98,RES.,,,,,
Sistema de Emergencia,0x99,SOS,alarm,,Botón de pánico activado,Flotas de Trabajo | Transporte | Vehículos Particulares,Crítica
